hostel_name,hostel_link,city,price,distance,summary_score,rating_band,value_for_money,security,location,staff,atmosphere,cleanliness,facilities,Free,General,Services,Food & Drink,Entertainment,latitude,longitude,free_breakfast,free_parking,free_cityMaps,free_wifi,free_cityTour,free_linen,free_internetAccess,free_towel,free_airportTransfer,general_outdoorTerrace,general_washingMachine,general_cardPhones,general_iron,general_hairDryers,general_utensils,general_meetingRoom,general_commonRoom,general_readingLight,general_cableTV,general_airConditioning,general_jobBoard,general_securityLocker,general_adaptor,general_elevator,general_covid19Guide,general_microwave,general_ceilingFan,general_wheelchairFriendly,general_flexibleNRR,general_bicycleParking,general_cooker,general_safeDepositBox,general_selfCateringFacilities,general_keyCardAccess,general_bookExchange,general_fridge,general_fitnessCentre,general_hotShower,general_dryer,general_parking,general_bbq,general_childPlayArea,general_dishwasher,general_hotTub,service_housekeeping,service_laundry,service_24HourSecurity,service_lateCheckOut,service_expressCheckIn,service_luggageStorage,service_reception,service_travelDesk,service_internetCafe,service_morningCall,service_currencyExchange,service_fax,service_24HourReception,service_postal,service_bicycleHire,service_internetAccess,service_beautySalon,foodDrink_teaCoffeeMaking,foodDrink_cafe,foodDrink_bar,foodDrink_restaurant,foodDrink_Meal,foodDrink_vendingMachine,entertainment_gameRoom,entertainment_poolTable,entertainment_foosball,entertainment_DVD,entertainment_playStation,entertainment_boardGame,entertainment_wii,entertainment_wifi
Nui. Hostel & Bar Lounge,https://www.hostelworld.com/hosteldetails.php/Nui-Hostel-and-Bar-Lounge/Tokyo/67481,Tokyo,20.51,9.3,9.8,Superb,10,9.6,9.6,10,10,10,9.6,"['Free City Maps', 'Free Internet Access', 'Free WiFi', 'Linen Included']","['Adaptors', 'Air Conditioning', 'Bicycle Parking', 'Breakfast Not Included', 'Common Room', 'Dryer', 'Elevator', 'Flexible NRR', 'Follows Covid-19 sanitation guidance', 'Fridge/Freezer', 'Hair Dryers', 'Hot Showers', 'Iron / Ironing Board', 'Meeting Rooms', 'Microwave', 'Reading Light', 'Security Lockers', 'Self-Catering Facilities', 'Washing Machine']","['Bicycle Hire', 'Housekeeping', 'Internet Access', 'Laundry Facilities', 'Luggage Storage', 'Reception (limited hours)', 'Towels for hire']","['Bar', 'Cafe', 'Meals Available', 'Restaurant', 'Tea & Coffee Making Facilities']","['Board Games', 'Wi-Fi']",35.70388,139.79337,no,no,yes,yes,no,yes,yes,no,no,no,yes,no,yes,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,yes,no,no,yes,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,no,yes
Grids Tokyo Ueno Hotel & Hostel,https://www.hostelworld.com/hosteldetails.php/Grids-Tokyo-Ueno-Hotel-and-Hostel/Tokyo/299842,Tokyo,24.61,8.4,9.6,Superb,10,10,9,9,9,10,10,,"['Air Conditioning', 'Elevator', 'Follows Covid-19 sanitation guidance', 'Fridge/Freezer', 'Hair Dryers', 'Hot Showers', 'Microwave', 'Reading Light', 'Self-Catering Facilities', 'Towels Not Included', 'Washing Machine']","['Internet Access', 'Laundry Facilities', 'Towels for hire']",,['Wi-Fi'],35.71529,139.77929,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
UNPLAN Shinjuku (COVID-19 Vaccinated Guests Only),https://www.hostelworld.com/hosteldetails.php/UNPLAN-Shinjuku-COVID-19-Vaccinated-Guests-Only/Tokyo/294428,Tokyo,14.77,1.8,9.1,Superb,10,10,10,8,8,9.2,8.4,"['Free Breakfast', 'Free City Maps', 'Free Internet Access', 'Free WiFi', 'Linen Included']","['Adaptors', 'Air Conditioning', 'Bicycle Parking', 'Book Exchange', 'Cable TV', 'Ceiling Fan', 'Common Room', 'Cooker', 'Dishwasher', 'Dryer', 'Elevator', 'Follows Covid-19 sanitation guidance', 'Fridge/Freezer', 'Hair Dryers', 'Hot Showers', 'Iron / Ironing Board', 'Meeting Rooms', 'Microwave', 'Outdoor Terrace', 'Reading Light', 'Safe Deposit Box', 'Security Lockers', 'Utensils', 'Washing Machine']","['24 Hour Security', 'Bicycle Hire', 'Internet Access', 'Laundry Facilities', 'Luggage Storage', 'Reception (limited hours)', 'Towels for hire']","['Bar', 'Cafe', 'Meals Available', 'Restaurant', 'Tea & Coffee Making Facilities']","['Board Games', 'PlayStation', 'Wi-Fi', 'Wii']",35.6931,139.71089,yes,no,yes,yes,no,yes,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes
Toco Tokyo Heritage Hostel,https://www.hostelworld.com/hosteldetails.php/Toco-Tokyo-Heritage-Hostel/Tokyo/46418,Tokyo,24.61,9.1,9.8,Superb,10,9,9.5,10,10,10,10,"['Free City Maps', 'Free Internet Access', 'Free WiFi', 'Linen Included']","['Adaptors', 'Air Conditioning', 'Bicycle Parking', 'Common Room', 'Flexible NRR', 'Follows Covid-19 sanitation guidance', 'Hair Dryers', 'Hair Dryers For Hire', 'Hot Showers', 'Meeting Rooms', 'Reading Light', 'Security Lockers', 'Self-Catering Facilities', 'Washing Machine']","['Bicycle Hire', 'Housekeeping', 'Internet Access', 'Laundry Facilities', 'Luggage Storage', 'Towels for hire']","['Bar', 'Cafe', 'Tea & Coffee Making Facilities']",,35.72204,139.78392,no,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,yes,no,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,no,no,yes,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no
UNPLAN Kagurazaka,https://www.hostelworld.com/hosteldetails.php/UNPLAN-Kagurazaka/Tokyo/265421,Tokyo,26.25,4,10,Superb,10,10,10,10,10,10,10,"['Free City Maps', 'Free Internet Access', 'Free WiFi', 'Linen Included']","['Adaptors', 'Air Conditioning', 'Bicycle Parking', 'Book Exchange', 'Cable TV', 'Card Phones', 'Common Room', 'Cooker', 'Dryer', 'Elevator', 'Follows Covid-19 sanitation guidance', 'Fridge/Freezer', 'Hair Dryers', 'Hot Showers', 'Hot Tub', 'Iron / Ironing Board', 'Microwave', 'Outdoor Terrace', 'Parking', 'Reading Light', 'Safe Deposit Box', 'Self-Catering Facilities', 'Utensils', 'Washing Machine']","['24 Hour Security', 'Bicycle Hire', 'Internet Access', 'Late check-out', 'Laundry Facilities', 'Luggage Storage', 'Reception (limited hours)', 'Tours/Travel Desk', 'Towels for hire']","['Bar', 'Cafe', 'Meals Available', 'Restaurant', 'Tea & Coffee Making Facilities']","['Board Games', 'Wi-Fi']",35.70504,139.73143,no,no,yes,yes,no,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,no,yes
Sakura Hostel Asakusa,https://www.hostelworld.com/hosteldetails.php/Sakura-Hostel-Asakusa/Tokyo/15725,Tokyo,19.69,9.8,7.7,Very good,8,8,10,10,10,4,4,"['Free Breakfast', 'Free City Maps', 'Free Internet Access', 'Free WiFi', 'Linen Included']","['Adaptors', 'Air Conditioning', 'Bicycle Parking', 'Book Exchange', 'Cable TV', 'Card Phones', 'Ceiling Fan', 'Common Room', 'Dryer', 'Elevator', 'Flexible NRR', 'Fridge/Freezer', 'Hair Dryers', 'Hair Dryers For Hire', 'Hot Showers', 'Iron / Ironing Board', 'Key Card Access', 'Microwave', 'Outdoor Terrace', 'Parking', 'Reading Light', 'Security Lockers', 'Self-Catering Facilities', 'Utensils', 'Washing Machine']","['24 Hour Reception', '24 Hour Security', 'Fax Service', 'Housekeeping', 'Internet Access', 'Late check-out', 'Laundry Facilities', 'Luggage Storage', 'Postal Service', 'Reception (limited hours)', 'Tours/Travel Desk', 'Towels for hire']","['Bar', 'Cafe', 'Meals Available', 'Tea & Coffee Making Facilities', 'Vending Machines']","[""DVD's"", 'PlayStation', 'Wi-Fi']",35.7147,139.79678,yes,no,yes,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,no,no,no,yes,yes,no,no,yes
Khaosan Tokyo Kabuki,https://www.hostelworld.com/hosteldetails.php/Khaosan-Tokyo-Kabuki/Tokyo/47084,Tokyo,24.61,9.7,9.4,Superb,10,9,10,9,9,10,9,"['Free City Maps', 'Free Internet Access', 'Free WiFi', 'Linen Included', 'Towels Included']","['Adaptors', 'Air Conditioning', 'Book Exchange', 'Breakfast Not Included', 'Cable TV', 'Common Room', 'Dryer', 'Elevator', 'Flexible NRR', 'Follows Covid-19 sanitation guidance', 'Fridge/Freezer', 'Hair Dryers', 'Hot Showers', 'Iron / Ironing Board', 'Jobs Board', 'Outdoor Terrace', 'Reading Light', 'Security Lockers', 'Self-Catering Facilities', 'Washing Machine']","['24 Hour Security', 'Internet Access', 'Laundry Facilities', 'Luggage Storage', 'Towels for hire']","['Tea & Coffee Making Facilities', 'Vending Machines']","['Board Games', ""DVD's"", 'PlayStation', 'Wi-Fi']",35.71146,139.79524,no,no,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,no,no,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,yes,yes,yes,no,yes
plat hostel keikyu haneda home,https://www.hostelworld.com/hosteldetails.php/plat-hostel-keikyu-haneda-home/Tokyo/304903,Tokyo,13.13,16.6,9.3,Superb,9.7,8.9,9.4,9.4,9.1,9.1,9.4,"['Free City Maps', 'Free WiFi', 'Linen Included']","['Air Conditioning', 'Breakfast Not Included', 'Common Room', 'Dryer', 'Elevator', 'Fridge/Freezer', 'Hair Dryers', 'Hot Showers', 'Microwave', 'Outdoor Terrace', 'Reading Light', 'Utensils', 'Washing Machine']","['24 Hour Security', 'Bicycle Hire', 'Laundry Facilities', 'Luggage Storage', 'Reception (limited hours)', 'Towels for hire']",['Tea & Coffee Making Facilities'],"['Board Games', 'Wi-Fi']",35.54788,139.74885,no,no,yes,yes,no,yes,no,no,no,yes,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes
CITAN Hostel,https://www.hostelworld.com/hosteldetails.php/CITAN-Hostel/Tokyo/274237,Tokyo,20.51,8.1,7.9,Very good,8,8,9.5,7.5,7.5,7.5,7,"['Free City Maps', 'Free Internet Access', 'Free WiFi', 'Linen Included']","['Air Conditioning', 'Breakfast Not Included', 'Common Room', 'Cooker', 'Dryer', 'Elevator', 'Flexible NRR', 'Follows Covid-19 sanitation guidance', 'Fridge/Freezer', 'Hair Dryers', 'Hot Showers', 'Iron / Ironing Board', 'Microwave', 'Outdoor Terrace', 'Reading Light', 'Security Lockers', 'Washing Machine']","['Bicycle Hire', 'Housekeeping', 'Internet Access', 'Laundry Facilities', 'Luggage Storage', 'Reception (limited hours)', 'Towels for hire']","['Bar', 'Cafe', 'Meals Available', 'Restaurant', 'Tea & Coffee Making Facilities']",['Wi-Fi'],35.69181,139.77975,no,no,yes,yes,no,yes,yes,no,no,yes,yes,no,yes,no,no,no,yes,yes,no,yes,no,yes,no,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,yes,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes
Imano Tokyo Hostel,https://www.hostelworld.com/hosteldetails.php/Imano-Tokyo-Hostel/Tokyo/100620,Tokyo,27.07,1.5,9.1,Superb,10,10,10,9,7,9,9,"['Free City Maps', 'Free Internet Access', 'Free WiFi', 'Linen Included']","['Air Conditioning', 'Breakfast Not Included', 'Common Room', 'Elevator', 'Follows Covid-19 sanitation guidance', 'Hair Dryers', 'Hot Showers', 'Hot Tub', 'Microwave', 'Reading Light', 'Safe Deposit Box', 'Towels Not Included', 'Washing Machine']","['24 Hour Reception', 'Housekeeping', 'Internet Access', 'Laundry Facilities', 'Luggage Storage', 'Towels for hire']","['Bar', 'Cafe', 'Restaurant']",,35.69358,139.70777,no,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no
"Wild Cherry Blossom-HOSTEL,TOKYO KOGANEI-",https://www.hostelworld.com/hosteldetails.php/Wild-Cherry-Blossom-HOSTEL-TOKYO-KOGANEI-/Tokyo/305899,Tokyo,36.1,16.6,9.6,Superb,9.6,9.6,8.8,10,10,10,9.6,"['Free WiFi', 'Linen Included', 'Towels Included']","['Air Conditioning', 'Breakfast Not Included', 'Cooker', 'Dryer', 'Elevator', 'Fridge/Freezer', 'Key Card Access', 'Microwave', 'Reading Light', 'Security Lockers', 'Washing Machine']","['24 Hour Security', 'Laundry Facilities', 'Reception (limited hours)']",['Vending Machines'],['Wi-Fi'],35.69808,139.50768,no,no,no,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,yes,no,yes,no,yes,no,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes
Khaosan World Asakusa RYOKAN & HOSTEL,https://www.hostelworld.com/hosteldetails.php/Khaosan-World-Asakusa-RYOKAN-and-HOSTEL/Tokyo/79505,Tokyo,20.51,9.5,9.1,Superb,9,10,10,10,8,9,8,"['Free City Maps', 'Free Internet Access', 'Free WiFi', 'Linen Included']","['Adaptors', 'Air Conditioning', 'Breakfast Not Included', 'Common Room', 'Dryer', 'Elevator', 'Follows Covid-19 sanitation guidance', 'Hair Dryers', 'Hot Showers', 'Microwave', 'Reading Light', 'Security Lockers', 'Self-Catering Facilities', 'Washing Machine']","['24 Hour Security', 'Laundry Facilities', 'Luggage Storage', 'Towels for hire']",['Vending Machines'],"['Board Games', 'Wi-Fi']",35.71463,139.79178,no,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,yes
Khaosan Tokyo Origami,https://www.hostelworld.com/hosteldetails.php/Khaosan-Tokyo-Origami/Tokyo/88794,Tokyo,20.51,10,9.3,Superb,9.3,9.3,9.3,9.3,9.3,9.3,9.3,"['Free City Maps', 'Free Internet Access', 'Free WiFi', 'Linen Included']","['Air Conditioning', 'Breakfast Not Included', 'Cable TV', 'Ceiling Fan', 'Common Room', 'Dryer', 'Elevator', 'Follows Covid-19 sanitation guidance', 'Fridge/Freezer', 'Hair Dryers', 'Hot Showers', 'Iron / Ironing Board', 'Microwave', 'Reading Light', 'Safe Deposit Box', 'Security Lockers', 'Self-Catering Facilities', 'Utensils', 'Washing Machine']","['24 Hour Security', 'Internet Access', 'Laundry Facilities', 'Luggage Storage', 'Reception (limited hours)', 'Towels for hire']",['Tea & Coffee Making Facilities'],"['Board Games', 'Wi-Fi']",35.7147,139.79678,no,no,yes,yes,no,yes,yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes
Focus Kuramae,https://www.hostelworld.com/hosteldetails.php/Focus-Kuramae/Tokyo/294343,Tokyo,15.79,9,8.2,Fabulous,8.8,8,8,8,8,8.4,8,"['Free City Maps', 'Free WiFi']","['Air Conditioning', 'Common Room', 'Dryer', 'Elevator', 'Fridge/Freezer', 'Hair Dryers', 'Hot Showers', 'Microwave', 'Reading Light', 'Towels Not Included', 'Utensils', 'Washing Machine']","['Internet Access', 'Laundry Facilities', 'Reception (limited hours)']","['Bar', 'Cafe']",['Wi-Fi'],35.70476,139.78996,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes
Imano Tokyo Ginza Hostel,https://www.hostelworld.com/hosteldetails.php/Imano-Tokyo-Ginza-Hostel/Tokyo/279367,Tokyo,25.43,7.6,9.1,Superb,10,10,8,9,8,10,9,"['Free City Maps', 'Free Internet Access', 'Free WiFi', 'Linen Included']","['Adaptors', 'Air Conditioning', 'Card Phones', 'Elevator', 'Follows Covid-19 sanitation guidance', 'Hot Showers', 'Meeting Rooms', 'Reading Light', 'Safe Deposit Box', 'Washing Machine']","['24 Hour Reception', '24 Hour Security', 'Bicycle Hire', 'Housekeeping', 'Internet Access', 'Late check-out', 'Laundry Facilities', 'Luggage Storage', 'Reception (limited hours)', 'Towels for hire']","['Bar', 'Cafe']",['Wi-Fi'],35.6723,139.7729,no,no,yes,yes,no,yes,yes,no,no,no,yes,yes,no,no,no,yes,no,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes
The Millennials Shibuya,https://www.hostelworld.com/hosteldetails.php/The-Millennials-Shibuya/Tokyo/285601,Tokyo,45.12,3.1,10,Superb,10,10,10,10,10,10,10,"['Free Breakfast', 'Free Internet Access', 'Free WiFi', 'Linen Included', 'Towels Included']","['Adaptors', 'Air Conditioning', 'Dryer', 'Elevator', 'Fridge/Freezer', 'Hair Dryers', 'Hot Showers', 'Iron / Ironing Board', 'Key Card Access', 'Meeting Rooms', 'Security Lockers']","['24 Hour Security', 'Housekeeping', 'Internet Access', 'Laundry Facilities', 'Luggage Storage', 'Reception (limited hours)']",['Tea & Coffee Making Facilities'],['Wi-Fi'],35.66222,139.69963,yes,no,no,yes,no,yes,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes
Obi Hostel,https://www.hostelworld.com/hosteldetails.php/Obi-Hostel/Tokyo/274874,Tokyo,16.41,8.2,7.9,Very good,8,8,8,9,7,8,7,"['Free WiFi', 'Towels Included']","['Adaptors', 'Air Conditioning', 'Breakfast Not Included', 'Common Room', 'Dryer', 'Elevator', 'Fitness Centre', 'Hair Dryers For Hire', 'Hot Showers', 'Iron / Ironing Board', 'Security Lockers', 'Utensils', 'Washing Machine']","['Bicycle Hire', 'Internet Access', 'Late check-out', 'Laundry Facilities', 'Postal Service', 'Reception (limited hours)', 'Towels for hire']","['Bar', 'Cafe', 'Meals Available', 'Restaurant']",['Wi-Fi'],35.6927,139.78284,no,no,no,yes,no,no,no,yes,no,no,yes,no,yes,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes
Time Sharing Stay Asakusa,https://www.hostelworld.com/hosteldetails.php/Time-Sharing-Stay-Asakusa/Tokyo/307387,Tokyo,13.13,9.8,10,Superb,10,10,10,10,10,10,10,"['Free Internet Access', 'Free WiFi']","['Adaptors', 'Air Conditioning', 'Breakfast Not Included', 'Cooker', 'Dryer', 'Hair Dryers', 'Hot Showers', 'Security Lockers']","['Bicycle Hire', 'Internet Access', 'Luggage Storage', 'Reception (limited hours)']",['Tea & Coffee Making Facilities'],['Wi-Fi'],35.71435,139.79189,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes
