hostel_name,hostel_link,city,price,distance,summary_score,rating_band,value_for_money,security,location,staff,atmosphere,cleanliness,facilities,Free,General,Services,Food & Drink,Entertainment,latitude,longitude,free_breakfast,free_parking,free_cityMaps,free_wifi,free_cityTour,free_linen,free_internetAccess,free_towel,free_airportTransfer,general_outdoorTerrace,general_washingMachine,general_cardPhones,general_iron,general_hairDryers,general_utensils,general_meetingRoom,general_commonRoom,general_readingLight,general_cableTV,general_airConditioning,general_jobBoard,general_securityLocker,general_adaptor,general_elevator,general_covid19Guide,general_microwave,general_ceilingFan,general_wheelchairFriendly,general_flexibleNRR,general_bicycleParking,general_cooker,general_safeDepositBox,general_selfCateringFacilities,general_keyCardAccess,general_bookExchange,general_fridge,general_fitnessCentre,general_hotShower,general_dryer,general_parking,general_bbq,general_childPlayArea,general_dishwasher,general_hotTub,service_housekeeping,service_laundry,service_24HourSecurity,service_lateCheckOut,service_expressCheckIn,service_luggageStorage,service_reception,service_travelDesk,service_internetCafe,service_morningCall,service_currencyExchange,service_fax,service_24HourReception,service_postal,service_bicycleHire,service_internetAccess,service_beautySalon,foodDrink_teaCoffeeMaking,foodDrink_cafe,foodDrink_bar,foodDrink_restaurant,foodDrink_Meal,foodDrink_vendingMachine,entertainment_gameRoom,entertainment_poolTable,entertainment_foosball,entertainment_DVD,entertainment_playStation,entertainment_boardGame,entertainment_wii,entertainment_wifi
Almond hostel & cafe Shibuya,https://www.hostelworld.com/hosteldetails.php/Almond-hostel-and-cafe-Shibuya/Tokyo/278423,Tokyo,1.64,2.2,8.6,Fabulous,8.7,8.7,10,8.7,7.3,8,8.7,"['Free City Maps', 'Free WiFi', 'Linen Included']","['Air Conditioning', 'Breakfast Not Included', 'Ceiling Fan', 'Common Room', 'Dryer', 'Follows Covid-19 sanitation guidance', 'Hair Dryers', 'Hot Showers', 'Iron / Ironing Board', 'Microwave', 'Towels Not Included', 'Washing Machine']","['24 Hour Security', 'Housekeeping', 'Late check-out', 'Laundry Facilities', 'Luggage Storage', 'Postal Service', 'Reception (limited hours)']","['Bar', 'Cafe']",['Wi-Fi'],35.66997,139.68751,no,no,yes,yes,no,yes,no,no,no,no,yes,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes
The Wardrobe Hostel Forest Shimokitazawa,https://www.hostelworld.com/hosteldetails.php/The-Wardrobe-Hostel-Forest-Shimokitazawa/Tokyo/296731,Tokyo,22.97,3.8,9.1,Superb,10,10,10,6,10,10,8,"['Free Internet Access', 'Free WiFi']","['Air Conditioning', 'Breakfast Not Included', 'Common Room', 'Hair Dryers', 'Hot Showers']",,,['Wi-Fi'],35.66099,139.66819,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
Sakura Hotel Jimbocho,https://www.hostelworld.com/hosteldetails.php/Sakura-Hotel-Jimbocho/Tokyo/4662,Tokyo,17.64,5.9,9.4,Superb,10,9,10,10,9,9,9,"['Free Breakfast', 'Free City Maps', 'Free Internet Access', 'Free WiFi', 'Linen Included']","['Adaptors', 'Air Conditioning', 'Bicycle Parking', 'Card Phones', 'Dryer', 'Elevator', 'Flexible NRR', 'Hair Dryers', 'Hot Showers', 'Iron / Ironing Board', 'Key Card Access', 'Outdoor Terrace', 'Towels Not Included']","['24 Hour Reception', '24 Hour Security', 'Fax Service', 'Internet Access', 'Internet café', 'Late check-out', 'Laundry Facilities', 'Luggage Storage', 'Postal Service', 'Reception (limited hours)', 'Tours/Travel Desk', 'Towels for hire', 'Wake-up calls']","['Bar', 'Cafe', 'Meals Available', 'Restaurant', 'Tea & Coffee Making Facilities', 'Vending Machines']",['Wi-Fi'],35.69496,139.75643,yes,no,yes,yes,no,yes,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,yes
&And Hostel Akihabara,https://www.hostelworld.com/hosteldetails.php/-and-And-Hostel-Akihabara/Tokyo/283418,Tokyo,15.18,7.8,8.5,Fabulous,9.5,9.5,10,8.5,7.5,7,7.5,"['Free WiFi', 'Linen Included']","['Air Conditioning', 'Breakfast Not Included', 'Common Room', 'Cooker', 'Elevator', 'Fridge/Freezer', 'Hair Dryers', 'Hot Showers', 'Microwave', 'Reading Light', 'Safe Deposit Box', 'Self-Catering Facilities', 'Towels Not Included']","['Housekeeping', 'Reception (limited hours)', 'Towels for hire']",,['Wi-Fi'],35.69732,139.77971,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes
Khaosan World Ryogoku Hostel,https://www.hostelworld.com/hosteldetails.php/Khaosan-World-Ryogoku-Hostel/Tokyo/275477,Tokyo,18.87,9.5,9.9,Superb,10,9,10,10,10,10,10,"['Free City Maps', 'Free Internet Access', 'Free WiFi']","['Air Conditioning', 'Breakfast Not Included', 'Common Room', 'Dryer', 'Elevator', 'Follows Covid-19 sanitation guidance', 'Fridge/Freezer', 'Hair Dryers', 'Hot Showers', 'Microwave', 'Security Lockers', 'Towels Not Included', 'Washing Machine']","['Internet Access', 'Laundry Facilities', 'Luggage Storage', 'Reception (limited hours)', 'Towels for hire']",['Tea & Coffee Making Facilities'],['Wi-Fi'],35.69428,139.79676,no,no,yes,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes
Sakura Hotel Ikebukuro,https://www.hostelworld.com/hosteldetails.php/Sakura-Hotel-Ikebukuro/Tokyo/22747,Tokyo,19.2,5.1,8.3,Fabulous,10,8,8,8,8,8,8,"['Free City Maps', 'Free Internet Access', 'Free WiFi', 'Linen Included']","['Air Conditioning', 'Breakfast Not Included', 'Cable TV', 'Common Room', 'Elevator', 'Hair Dryers For Hire', 'Reading Light', 'Self-Catering Facilities', 'Washing Machine']","['24 Hour Reception', '24 Hour Security', 'Fax Service', 'Internet Access', 'Luggage Storage', 'Towels for hire']","['Bar', 'Cafe', 'Meals Available', 'Vending Machines']",,35.73355,139.70885,no,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no
Khaosan Tokyo Laboratory,https://www.hostelworld.com/hosteldetails.php/Khaosan-Tokyo-Laboratory/Tokyo/74311,Tokyo,21.33,9.3,7.7,Very good,10,8,10,4,6,8,8,"['Free City Maps', 'Free Internet Access', 'Free WiFi', 'Linen Included']","['Adaptors', 'Air Conditioning', 'Book Exchange', 'Breakfast Not Included', 'Common Room', 'Dryer', 'Elevator', 'Follows Covid-19 sanitation guidance', 'Fridge/Freezer', 'Hair Dryers', 'Hair Dryers For Hire', 'Hot Showers', 'Microwave', 'Outdoor Terrace', 'Reading Light', 'Safe Deposit Box', 'Security Lockers', 'Self-Catering Facilities', 'Utensils', 'Washing Machine']","['24 Hour Security', 'Internet Access', 'Laundry Facilities', 'Luggage Storage', 'Towels for hire']",['Tea & Coffee Making Facilities'],"['Board Games', 'PlayStation', 'Wi-Fi']",35.71183,139.79129,no,no,yes,yes,no,yes,yes,no,no,yes,yes,no,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,yes
TOKYO-W-INN Asakusa,https://www.hostelworld.com/hosteldetails.php/TOKYO-W-INN-Asakusa/Tokyo/295276,Tokyo,14.69,9.3,9.2,Superb,9.3,9.3,9.3,10,8.7,9.3,8.7,"['Free WiFi', 'Linen Included']","['Adaptors', 'Air Conditioning', 'Breakfast Not Included', 'Cable TV', 'Ceiling Fan', 'Common Room', 'Cooker', 'Dryer', 'Elevator', 'Fridge/Freezer', 'Hair Dryers', 'Hair Dryers For Hire', 'Hot Showers', 'Hot Tub', 'Microwave', 'Outdoor Terrace', 'Reading Light', 'Safe Deposit Box', 'Security Lockers', 'Self-Catering Facilities', 'Towels Not Included', 'Utensils', 'Washing Machine']","['24 Hour Reception', 'Express check-in / out', 'Laundry Facilities', 'Luggage Storage', 'Towels for hire']","['Bar', 'Restaurant', 'Tea & Coffee Making Facilities', 'Vending Machines']",['Wi-Fi'],35.70831,139.79229,no,no,no,yes,no,yes,no,no,no,yes,yes,no,no,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,yes,no,no,yes,no,yes,yes,no,no,no,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes
plat hostel keikyu minowa forest,https://www.hostelworld.com/hosteldetails.php/plat-hostel-keikyu-minowa-forest/Tokyo/300561,Tokyo,13.13,10,9.7,Superb,10,10,8,10,10,10,10,"['Free WiFi', 'Linen Included']","['Air Conditioning', 'Breakfast Not Included', 'Common Room', 'Cooker', 'Dryer', 'Elevator', 'Fridge/Freezer', 'Hair Dryers', 'Hair Dryers For Hire', 'Microwave', 'Self-Catering Facilities', 'Towels Not Included', 'Utensils', 'Washing Machine']","['Internet Access', 'Laundry Facilities', 'Luggage Storage', 'Reception (limited hours)']",['Tea & Coffee Making Facilities'],['Wi-Fi'],35.72618,139.79219,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,yes,yes,no,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes
Ryoma Ikebukuro I,https://www.hostelworld.com/hosteldetails.php/Ryoma-Ikebukuro-I/Tokyo/286220,Tokyo,23.63,5.5,9.1,Superb,10,10,8,10,8,10,8,"['Free Airport Transfer', 'Free Internet Access', 'Free WiFi']","['Air Conditioning', 'Breakfast Not Included', 'Card Phones', 'Cooker', 'Fridge/Freezer', 'Hair Dryers', 'Hair Dryers For Hire', 'Safe Deposit Box']","['Housekeeping', 'Internet Access', 'Late check-out', 'Reception (limited hours)']",['Tea & Coffee Making Facilities'],,35.72959,139.7154,no,no,no,yes,no,no,yes,no,yes,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
Khaosan Tokyo Samurai,https://www.hostelworld.com/hosteldetails.php/Khaosan-Tokyo-Samurai/Tokyo/95634,Tokyo,20.51,9.5,8,Fabulous,8,4.7,8.7,9.3,9.3,7.3,8.7,"['Free City Maps', 'Free Internet Access', 'Free WiFi', 'Linen Included']","['Air Conditioning', 'Book Exchange', 'Breakfast Not Included', 'Cable TV', 'Common Room', 'Elevator', 'Follows Covid-19 sanitation guidance', 'Hair Dryers', 'Hair Dryers For Hire', 'Hot Showers', 'Microwave', 'Outdoor Terrace', 'Reading Light', 'Safe Deposit Box', 'Security Lockers', 'Self-Catering Facilities', 'Washing Machine']","['Internet Access', 'Laundry Facilities', 'Luggage Storage', 'Towels for hire']","['Tea & Coffee Making Facilities', 'Vending Machines']",,35.71485,139.79225,no,no,yes,yes,no,yes,yes,no,no,yes,yes,no,no,yes,no,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no
Guesthouse Fete,https://www.hostelworld.com/hosteldetails.php/Guesthouse-Fete/Tokyo/263266,Tokyo,18.87,3,8.9,Fabulous,10,8,8,10,10,8,8,"['Free City Maps', 'Free Internet Access', 'Free WiFi', 'Linen Included']","['Adaptors', 'Air Conditioning', 'BBQ', 'Breakfast Not Included', 'Common Room', 'Elevator', 'Hair Dryers', 'Hot Showers', 'Hot Tub', 'Key Card Access', 'Outdoor Terrace', 'Parking', 'Reading Light', 'Security Lockers', 'Self-Catering Facilities', 'Washing Machine']","['Fax Service', 'Housekeeping', 'Internet Access', 'Laundry Facilities', 'Luggage Storage', 'Reception (limited hours)', 'Towels for hire']","['Bar', 'Cafe', 'Meals Available', 'Tea & Coffee Making Facilities', 'Vending Machines']","['Foosball', 'Wi-Fi', 'Wii']",35.70146,139.7981,no,no,yes,yes,no,yes,yes,no,no,yes,yes,no,no,no,no,no,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,yes,yes,no,no,yes,yes,yes,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,no,no,yes,no,no,no,yes,yes
Capsule Hotel Anshin Oyado Akihabara,https://www.hostelworld.com/hosteldetails.php/Capsule-Hotel-Anshin-Oyado-Akihabara/Tokyo/281075,Tokyo,46.97,7.2,8,Fabulous,6,8,10,10,8,8,6,"['Free Internet Access', 'Free WiFi']","['Air Conditioning', 'Breakfast Not Included', 'Elevator', 'Hair Dryers', 'Hot Tub', 'Linen Not Included', 'Outdoor Terrace']","['24 Hour Reception', 'Internet Access']",['Tea & Coffee Making Facilities'],,35.70342,139.77076,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
Hotel Graphy Nezu,https://www.hostelworld.com/hosteldetails.php/Hotel-Graphy-Nezu/Tokyo/73386,Tokyo,14.77,7.6,10,Superb,10,10,10,10,10,10,10,"['Free City Maps', 'Free Internet Access', 'Free WiFi', 'Linen Included', 'Towels Included']","['Air Conditioning', 'Breakfast Not Included', 'Elevator', 'Hair Dryers', 'Outdoor Terrace', 'Reading Light']","['24 Hour Security', 'Beauty Salon', 'Bicycle Hire', 'Housekeeping', 'Internet Access', 'Laundry Facilities', 'Luggage Storage', 'Reception (limited hours)']","['Bar', 'Café', 'Restaurant', 'Tea & Coffee Making Facilities']",,35.71717,139.76857,no,no,yes,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no
Khaosan Kyoto Guest House,https://www.hostelworld.com/hosteldetails.php/Khaosan-Kyoto-Guest-House/Kyoto/45698,Kyoto,16.41,1.1,9.9,Superb,10,10,10,10,10,9.3,10,"['Free City Maps', 'Free Internet Access', 'Free WiFi', 'Linen Included']","['Adaptors', 'Air Conditioning', 'Breakfast Not Included', 'Card Phones', 'Common Room', 'Cooker', 'Dryer', 'Elevator', 'Follows Covid-19 sanitation guidance', 'Fridge/Freezer', 'Hair Dryers', 'Hot Showers', 'Microwave', 'Outdoor Terrace', 'Reading Light', 'Security Lockers', 'Self-Catering Facilities', 'Towels Not Included', 'Washing Machine']","['Internet Access', 'Laundry Facilities', 'Luggage Storage', 'Reception (limited hours)', 'Towels for hire']","['Tea & Coffee Making Facilities', 'Vending Machines']","['Board Games', ""DVD's"", 'Wi-Fi', 'Wii']",35.00156,135.76688,no,no,yes,yes,no,yes,yes,no,no,yes,yes,yes,no,no,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,yes,no,yes,yes,yes
The Millennials Kyoto,https://www.hostelworld.com/hosteldetails.php/The-Millennials-Kyoto/Kyoto/280003,Kyoto,31.5,0.5,9.8,Superb,10,9.6,10,10,9.2,10,10,"['Free Internet Access', 'Free WiFi', 'Linen Included', 'Towels Included']","['Adaptors', 'Air Conditioning', 'Bicycle Parking', 'Breakfast Not Included', 'Card Phones', 'Common Room', 'Cooker', 'Dryer', 'Elevator', 'Follows Covid-19 sanitation guidance', 'Fridge/Freezer', 'Hair Dryers', 'Hot Showers', 'Iron / Ironing Board', 'Meeting Rooms', 'Microwave', 'Safe Deposit Box', 'Utensils', 'Washing Machine']","['Bicycle Hire', 'Internet Access', 'Late check-out', 'Luggage Storage', 'Reception (limited hours)']",['Tea & Coffee Making Facilities'],"['Board Games', 'Wi-Fi']",35.0075,135.76883,no,no,no,yes,no,yes,yes,yes,no,no,yes,yes,yes,no,yes,yes,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes
Len Kyoto,https://www.hostelworld.com/hosteldetails.php/Len-Kyoto/Kyoto/93521,Kyoto,20.51,1.4,9.5,Superb,9.7,9.3,9.3,9,9.3,10,10,"['Free City Maps', 'Free Internet Access', 'Free WiFi', 'Linen Included']","['Adaptors', 'Air Conditioning', 'Breakfast Not Included', 'Common Room', 'Elevator', 'Flexible NRR', 'Follows Covid-19 sanitation guidance', 'Hair Dryers', 'Hot Showers', 'Reading Light', 'Safe Deposit Box', 'Security Lockers']","['24 Hour Security', 'Internet Access', 'Luggage Storage', 'Towels for hire']","['Bar', 'Cafe', 'Meals Available', 'Restaurant']",,34.99871,135.76729,no,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no
HARUYA Umekoji,https://www.hostelworld.com/hosteldetails.php/HARUYA-Umekoji/Kyoto/278295,Kyoto,16.41,3.1,10,Superb,10,10,10,10,10,10,10,"['Free Airport Transfer', 'Free Internet Access', 'Free WiFi']","['Adaptors', 'Card Phones', 'Hot Tub', 'Iron / Ironing Board', 'Reading Light']","['Bicycle Hire', 'Internet Access', 'Late check-out', 'Reception (limited hours)']",['Tea & Coffee Making Facilities'],,34.98843,135.74633,no,no,no,yes,no,no,yes,no,yes,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
Ryokan Hostel Gion,https://www.hostelworld.com/hosteldetails.php/Ryokan-Hostel-Gion/Kyoto/292201,Kyoto,22.15,0.8,9.9,Superb,10,10,10,10,9.3,10,10,"['Free City Maps', 'Free Internet Access', 'Free WiFi', 'Linen Included', 'Towels Included']","['Adaptors', 'Air Conditioning', 'Breakfast Not Included', 'Common Room', 'Cooker', 'Dryer', 'Elevator', 'Fridge/Freezer', 'Hair Dryers', 'Hot Showers', 'Hot Tub', 'Iron / Ironing Board', 'Key Card Access', 'Microwave', 'Outdoor Terrace', 'Reading Light', 'Safe Deposit Box', 'Security Lockers', 'Self-Catering Facilities', 'Utensils', 'Washing Machine']","['24 Hour Security', 'Bicycle Hire', 'Housekeeping', 'Internet Access', 'Late check-out', 'Laundry Facilities', 'Luggage Storage', 'Reception (limited hours)', 'Towels for hire']",['Tea & Coffee Making Facilities'],['Wi-Fi'],35.00679,135.77422,no,no,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,yes,no,yes,yes,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes
Gojo Guest House,https://www.hostelworld.com/hosteldetails.php/Gojo-Guest-House/Kyoto/5317,Kyoto,16.41,1.9,9.6,Superb,10,10,9,10,10,9,9,"['Free City Maps', 'Free Internet Access', 'Free WiFi', 'Linen Included']","['Air Conditioning', 'Breakfast Not Included', 'Card Phones', 'Common Room', 'Hair Dryers', 'Hair Dryers For Hire', 'Hot Showers', 'Security Lockers']","['Internet Access', 'Late check-out', 'Laundry Facilities', 'Luggage Storage', 'Reception (limited hours)']","['Bar', 'Cafe', 'Restaurant', 'Tea & Coffee Making Facilities']",,34.99539,135.77221,no,no,yes,yes,no,yes,yes,no,no,no,no,yes,no,yes,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no
Hostel Kyoto Kizuna,https://www.hostelworld.com/hosteldetails.php/Hostel-Kyoto-Kizuna/Kyoto/277793,Kyoto,14.77,2.1,10,Superb,10,10,10,10,10,10,10,"['Free Internet Access', 'Free WiFi', 'Linen Included']","['Air Conditioning', 'Breakfast Not Included', 'Card Phones', 'Common Room', 'Cooker', 'Dryer', 'Elevator', 'Fridge/Freezer', 'Hair Dryers', 'Hot Showers', 'Hot Tub', 'Iron / Ironing Board', 'Key Card Access', 'Microwave', 'Parking', 'Reading Light', 'Safe Deposit Box', 'Security Lockers', 'Self-Catering Facilities', 'Utensils', 'Washing Machine']","['24 Hour Security', 'Bicycle Hire', 'Housekeeping', 'Internet Access', 'Late check-out', 'Laundry Facilities', 'Reception (limited hours)', 'Towels for hire']","['Bar', 'Cafe', 'Tea & Coffee Making Facilities', 'Vending Machines']",['Wii'],34.99916,135.76266,no,no,no,yes,no,yes,yes,no,no,no,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,yes,no,yes,no,yes,no,no,no,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,yes,no
